gene,total,log2FC,p_perm
TMEM248,170,0.9146445592186133,0.009615384615384616
SMAD5,111,1.144450986803731,0.009615384615384616
RABEP1,93,1.0243844152359138,0.009615384615384616
ACSL3,157,-1.0385861407650194,0.009615384615384616
TNRC6A,144,1.0413574938396266,0.009696186166774402
HACL1,55,-1.554331413474588,0.009857789269553975
CAMK2G,102,-1.0757156253369529,0.009938590820943762
ZNF787,75,1.289933846979729,0.009938590820943762
LPXN,152,1.6339331786706581,0.009938590820943762
PRKCA,166,-0.8814071811172977,0.010100193923723336
RP2,74,1.2690248572167502,0.010180995475113122
RASD1,156,-1.4936531849061785,0.010180995475113122
C10orf54,107,1.0864453833681644,0.010180995475113122
NUDT9,92,-1.6271697235206624,0.010261797026502909
FOXJ2,117,1.385056211398209,0.010342598577892695
XRN2,198,0.7038058744917567,0.010342598577892695
TIMM17B,180,0.6879184262070457,0.010342598577892695
B3GNT2,66,2.052762257111875,0.010423400129282482
AIDA,92,1.3823944116746927,0.010423400129282482
SF3A3,115,-0.6414523302796733,0.010585003232062056
TAB2,93,1.6222038860885513,0.010585003232062056
HDAC3,71,-1.0832435170931973,0.010746606334841629
USP47,142,0.8100319477331709,0.010746606334841629
C16orf72,208,0.6552646916014941,0.010746606334841629
UBN1,59,1.180185198536942,0.010827407886231415
SOX13,138,0.8656034135951162,0.010908209437621202
CKAP4,137,1.8007779388335285,0.01098901098901099
PRAF2,55,1.3880080181382186,0.01098901098901099
GSE1,98,1.1073207562179845,0.011069812540400776
TET2,153,0.9303261814508831,0.011069812540400776
DBP,70,-1.5520665856297278,0.011150614091790563
NCOA1,114,0.6645031884486691,0.011231415643180349
RBM33,97,1.686692612540265,0.011312217194570135
NINJ1,107,1.2455567984101057,0.011393018745959922
CCDC47,190,0.7761841772494971,0.011635423400129283
USP14,155,1.0516625022313624,0.011635423400129283
DRAM1,134,1.0413574938396266,0.011635423400129283
ABHD3,92,-0.8765042195898957,0.011797026502908856
ANKRD11,207,1.609641253414151,0.011797026502908856
CGGBP1,206,0.4604646574275177,0.011797026502908856
GLRX2,177,0.5883066686240488,0.012039431157078216
AXIN1,58,1.1534678601611636,0.01220103425985779
IP6K2,125,-0.9977200281430645,0.01220103425985779
SLC7A5,127,1.5122482278519878,0.012362637362637362
USP48,184,0.9567176803422817,0.012362637362637362
BMPR2,69,1.4232281291832711,0.012362637362637362
TNKS2,65,1.065810537564167,0.012443438914027148
FAM102B,167,0.9757691522120494,0.012443438914027148
TNFRSF9,110,2.8122704199291704,0.012443438914027148
MIER1,218,0.49911586810309266,0.012443438914027148
MED13,159,0.9919452997145501,0.012524240465416937
TADA3,82,-1.1932731969905037,0.012605042016806723
WDR20,61,1.232179836175204,0.012605042016806723
GTF3C6,170,0.8292042570080157,0.012605042016806723
XPOT,72,0.997964898326244,0.01268584356819651
SPRY1,96,-1.3995288292081087,0.01268584356819651
SIN3A,67,1.3777851584221024,0.012766645119586296
SPIN1,106,0.9252993643760492,0.012766645119586296
DCP1A,111,0.864200923166237,0.012847446670976082
PDCD6IP,124,0.8013540566611728,0.012928248222365869
MYO9A,55,1.7783230880058325,0.013332255979314802
BEX5,71,1.2044157757936715,0.013332255979314802
PPTC7,183,1.215055658383995,0.013413057530704589
NRAS,76,1.3105441266550157,0.013493859082094377
