gene,log2FC,p_perm,empirical_p
SPIN1,0.9252993643760492,0.012766645119586296,0.08685581933989578
DCP1A,0.864200923166237,0.012847446670976082,0.08743485813549508
PDCD6IP,0.8013540566611728,0.012928248222365869,0.08772437753329473
MYO9A,1.7783230880058325,0.013332255979314802,0.08801389693109438
BEX5,1.2044157757936715,0.013332255979314802,0.08801389693109438
PPTC7,1.215055658383995,0.013413057530704589,0.08859293572669369
NRAS,1.3105441266550157,0.013493859082094377,0.08888245512449335
IL7R,1.5100329567205442,0.01365546218487395,0.08917197452229299
NBAS,-0.8922694842410199,0.01365546218487395,0.08917197452229299
RRN3,-0.7635706908234374,0.013736263736263736,0.0897510133178923
MOAP1,-1.1059660786655552,0.013817065287653522,0.09004053271569196
SOCS2,0.8454372838643678,0.013897866839043309,0.0903300521134916
PITPNB,1.0864453833681644,0.01414027149321267,0.09061957151129126
KPNA6,0.6787874144549177,0.014221073044602456,0.09090909090909091
MAP7D3,1.0715721068866342,0.014301874595992243,0.09119861030689057
LRP4,1.5515522261588097,0.014301874595992243,0.09119861030689057
FARS2,-0.7944988498431137,0.014301874595992243,0.09119861030689057
IMP4,1.0284762025428933,0.014301874595992243,0.09119861030689057
PBRM1,0.7589577631389012,0.014382676147382029,0.09235668789808917
CHCHD1,0.7605483862778549,0.014463477698771817,0.09264620729588882
TRAF4,1.4634497506524216,0.014463477698771817,0.09264620729588882
RIF1,1.1676739436210266,0.014463477698771817,0.09264620729588882
AGAP3,0.9124597606573696,0.014544279250161603,0.09351476548928778
SCLT1,1.060094056421213,0.014705882352941176,0.09380428488708743
DIAPH1,1.3387910268062415,0.014786683904330963,0.09409380428488709
UBL3,0.9101129605613735,0.014948287007110537,0.09438332368268675
TCIRG1,0.9757691522120494,0.01510989010989011,0.09467284308048639
CRYAB,-2.0336191035474243,0.01510989010989011,0.09467284308048639
LCOR,1.3901612947183848,0.015190691661279896,0.0952518818760857
PXDC1,1.7066216226516424,0.015271493212669683,0.09554140127388536
RAB33A,-1.439496603540791,0.01535229476405947,0.095830920671685
USP37,1.065810537564167,0.015433096315449257,0.09612044006948466
AKT2,0.8292042570080183,0.015513897866839044,0.09640995946728431
PFKP,1.2574909247043926,0.01583710407239819,0.09669947886508395
CNOT6L,-0.6074514889061561,0.015998707175177762,0.09698899826288361
PMEPA1,2.1337510981465218,0.01607950872656755,0.09727851766068327
COMT,-0.6338028158531102,0.01616031027795734,0.09756803705848292
RP11-796E2.4,-1.514458661222015,0.01632191338073691,0.09785755645628257
WARS,1.8298533886459145,0.016402714932126698,0.09814707585408222
BID,0.8278432238496325,0.016402714932126698,0.09814707585408222
NKAP,-1.136695388486086,0.016402714932126698,0.09814707585408222
CCDC117,0.9029107238704822,0.016402714932126698,0.09814707585408222
BCAR3,-1.4305960450523443,0.016483516483516484,0.09930515344528083
GDF11,1.2487373443210497,0.01656431803490627,0.09959467284308049
ZNF593,1.158109740101623,0.016645119586296057,0.09988419224088015
SLC35E1,1.180185198536942,0.016645119586296057,0.09988419224088015
RNF146,-1.0505649956014147,0.016887524240465416,0.10046323103647944
IFRD2,0.8292042570080183,0.016968325791855202,0.1007527504342791
GTF2E2,1.1534678601611636,0.016968325791855202,0.1007527504342791
FAM89A,-1.6361711256176017,0.01704912734324499,0.1013317892298784
GABPB1-AS1,-0.7858808525485255,0.01704912734324499,0.1013317892298784
NANS,0.6200934201958952,0.01712992889463478,0.10191082802547771
BCL6,-0.8352085649120965,0.01712992889463478,0.10191082802547771
SSBP3,0.9654086406063288,0.017210730446024565,0.10248986682107701
BAG6,-0.7457104140729933,0.017210730446024565,0.10248986682107701
BIRC2,0.8438466607254139,0.01729153199741435,0.10306890561667632
SLK,1.0223743904720553,0.017453135100193924,0.10335842501447597
UBR7,1.065810537564167,0.017614738202973497,0.10364794441227562
PPIP5K2,0.8947649962279388,0.01777634130575307,0.10393746381007528
FLII,0.9757691522120494,0.01777634130575307,0.10393746381007528
MYO1C,1.2044157757936715,0.017937944408532643,0.10451650260567458
NDUFS2,-0.9710262306162053,0.017937944408532643,0.10451650260567458
ERI1,1.620370728229595,0.017937944408532643,0.10451650260567458
SCG2,2.6143968271849616,0.01801874595992243,0.10538506079907353
MRPL21,-0.6099475017102267,0.018341952165481578,0.10567458019687319
NUP153,0.9181257278453546,0.018422753716871364,0.10596409959467284
RAPGEF2,0.6447399336272392,0.018826761473820296,0.1062536189924725
CCNDBP1,-0.8919085171931915,0.01898836457659987,0.10654313839027214
MAP4K5,1.1523888062283703,0.01906916612798966,0.1068326577880718
