contrast,log2FC,se_log2,z,p,ci_lo,ci_hi,n_ref,n_alt,n_patients,cpm_ref,cpm_alt,gene,comparison,fdr
PSO_vs_Healthy,2.1979947128344945,0.2011698468141057,10.926064455701392,8.651993206111245e-28,1.8037018130788471,2.5922876125901415,38,55,66,0.35629512131230734,1.2296119165938588,TNFRSF9,Healthy_vs_PSO,1.7303986412222488e-26
PSO_vs_Healthy,1.9841780317709419,0.20643027094925748,9.611855967861766,7.125288389901679e-22,1.5795747007103973,2.3887813628314865,38,55,66,0.4290326628965312,1.3292863947537497,TNFSF9,Healthy_vs_PSO,7.125288389901678e-21
PSO_vs_Healthy,-0.4888037816678406,0.2536858607567457,-1.9268073522495002,0.05400364288274596,-0.9860280687510621,0.008420505415380988,38,55,66,4.830519381517181,3.66003420129318,TPSAB1,Healthy_vs_PSO,0.06353369750911289
PSO_vs_Healthy,-0.36412195385675167,0.2890942683653271,-1.2595267139527389,0.20784014746399715,-0.9307467198527928,0.20250281213928942,38,55,66,6.659435469140984,5.688099092573176,TPSB2,Healthy_vs_PSO,0.20784014746399715
PSO_vs_Healthy,-0.6552684505798897,0.21269436228221528,-3.080798397986879,0.002064463777704868,-1.0721494006530314,-0.23838750050674778,38,55,66,11.678950723092619,8.946053874518656,CPA3,Healthy_vs_PSO,0.0029492339681498115
PSO_vs_Healthy,-0.8373354216060942,0.2346026881867626,-3.5691637980699857,0.00035812247495265104,-1.2971566904521488,-0.3775141527600395,38,55,66,4.1066445427258875,2.595691733157906,MS4A2,Healthy_vs_PSO,0.0005968707915877517
PSO_vs_Healthy,-1.1406667763282539,0.3071814000371028,-3.7133328261101703,0.00020454759903266407,-1.742742320400975,-0.5385912322555323,38,55,66,2.340128495998411,1.1548485772169292,CMA1,Healthy_vs_PSO,0.0003719047255139346
PSO_vs_Healthy,-0.5828587598037857,0.11799521383603931,-4.939681372277517,7.825032972818167e-07,-0.8141293789224229,-0.35158814068514865,38,55,66,100.76628376107396,68.19288303654982,KIT,Healthy_vs_PSO,1.5650065945636333e-06
PSO_vs_Healthy,-0.6384053902491807,0.2632293378198802,-2.425282058362438,0.015296497106023753,-1.1543348923761458,-0.12247588812221553,38,55,66,1.180436263084971,0.9405982719203135,HDC,Healthy_vs_PSO,0.01912062138252969
PSO_vs_Healthy,-1.3896575662639032,0.252669007136977,-5.499913036467277,3.7997860939703145e-08,-1.8848888202523784,-0.8944263122754282,38,55,66,591.626344545821,284.2518449337049,COL1A1,Healthy_vs_PSO,9.499465234925786e-08
PSO_vs_Healthy,-1.163664250099867,0.202035201156344,-5.759710404125918,8.42583704073336e-09,-1.5596532443663012,-0.7676752558334329,38,55,66,1036.6583548237222,572.8493837510292,COL1A2,Healthy_vs_PSO,2.4073820116381027e-08
PSO_vs_Healthy,-0.8437595965152979,0.16710476929095158,-5.0492849491698255,4.434668404956444e-07,-1.171284944325563,-0.5162342487050328,38,55,66,1203.8199984829535,536.1803289317282,DCN,Healthy_vs_PSO,9.854818677680987e-07
PSO_vs_Healthy,0.5011984036479491,0.07821898038848679,6.4076315129482495,1.4779758556674628e-10,0.347889202086515,0.6545076052093832,38,55,66,4430.590813916568,5598.047301853255,KRT14,Healthy_vs_PSO,7.389879278337314e-10
PSO_vs_Healthy,0.3877768740160725,0.06505143801307713,5.961080736418444,2.5057511665838574e-09,0.2602760555104414,0.5152776925217036,38,55,66,6001.693426773147,7353.88432568043,KRT5,Healthy_vs_PSO,8.352503888612859e-09
PSO_vs_Healthy,0.13082814191754158,0.0841013782923001,1.5556004500049858,0.11980313165785729,-0.03401055953536663,0.29566684337044985,38,55,66,15848.348427218123,17051.46583174966,KRT10,Healthy_vs_PSO,0.1261085596398498
PSO_vs_Healthy,1.517962555578818,0.19073693125025082,7.958409237418314,1.742651566231643e-15,1.1441181703283265,1.8918069408293097,38,55,66,0.5918796739554802,1.5461415370291411,CD3D,Healthy_vs_PSO,1.1617677108210954e-14
PSO_vs_Healthy,0.9205556468664248,0.15255338683717928,6.034317991569318,1.5963544006105372e-09,0.6215510086655535,1.2195602850672962,38,55,66,0.8256563704328437,1.3805120567710734,CD3E,Healthy_vs_PSO,6.385417602442149e-09
PSO_vs_Healthy,0.4600125064610821,0.1389320047404396,3.3110621798087685,0.0009294255383663996,0.18770577716982048,0.7323192357523438,38,55,66,2.8939605994255455,3.510255866698608,TRAC,Healthy_vs_PSO,0.0014298854436406148
PSO_vs_Healthy,0.5737106791564756,0.3332314712380301,1.7216581525898826,0.08513146216543636,-0.07942300447006345,1.2268443627830146,38,55,66,9.09277229041858,11.639397840584959,CD163,Healthy_vs_PSO,0.09459051351715152
PSO_vs_Healthy,0.4252480616299891,0.14188250065033525,2.997184710452764,0.0027248555789708335,0.14715836035533206,0.7033377629046463,38,55,66,4.110932858676782,5.64336162783993,AIF1,Healthy_vs_PSO,0.0036331407719611113
